continent,country_names,total_cases_of_countries,total_deaths1,total_recovered1,active_cases1,total_population1
North America,USA,101825079,1113307,98932846,1778926,334805269
Asia,India,44677346,530677,44142032,4637,1406631776
Europe,France,38899905,160617,37617800,1121488,65584518
Europe,Germany,37035898,160045,36312800,563053,83883596
South America,Brazil,35943720,691994,34609068,642658,215353593
Asia,S. Korea,28302474,31490,27177366,1093618,51329899
Asia,Japan,27374464,53730,20942684,6378050,125584838
Europe,Italy,24884034,183138,24215242,485654,60262770
Europe,UK,24089042,198271,23802467,88304,68497907
Europe,Russia,21728409,393107,21123341,211961,145805947
Asia,Turkey,17042722,101492,NA,NA,85561976
Europe,Spain,13651239,116658,13444388,90193,46719142
Asia,Vietnam,11523367,43180,10610349,869838,98953541
Australia/Oceania,Australia,10979204,16712,10546102,416390,26068792
South America,Argentina,9829236,130080,9597167,101989,46010234
Asia,Taiwan,8605539,14931,8298444,292164,23888595
Europe,Netherlands,8556131,22942,8511781,21408,17211447
Asia,Iran,7560581,144667,7335779,80135,86022837
North America,Mexico,7190702,330805,6436684,423213,131562772
Asia,Indonesia,6711703,160451,6525525,25727,279134505
Europe,Poland,6362604,118436,5335940,908228,37739785
South America,Colombia,6330409,141996,6150571,37842,51512762
Europe,Austria,5656559,21332,5586141,49086,9066710
Europe,Portugal,5551364,25643,5512497,13224,10140570
Europe,Greece,5500737,34614,5436388,29735,10316637
Europe,Ukraine,5350380,110696,5229875,9809,43192122
Asia,Malaysia,5018584,36808,4966235,15541,33181072
South America,Chile,4985688,62903,4913485,9300,19250195
Asia,DPRK,4772813,74,4772739,0,25990679
Asia,Israel,4750268,11973,4725995,12300,9326000
Asia,Thailand,4718908,33505,4649509,35894,70078203
Europe,Belgium,4658298,33155,4595210,29933,11668278
Europe,Czechia,4574354,42026,4524319,8009,10736784
North America,Canada,4457366,48645,4344394,64327,38388419
South America,Peru,4416823,217926,4112627,86270,33684208
Europe,Switzerland,4351857,14353,4277958,59546,8773637
Asia,Philippines,4057629,65127,3975239,17263,112508994
Africa,South Africa,4046603,102568,3912506,31529,60756135
Europe,Romania,3305048,67341,3229493,8214,19031335
Europe,Denmark,3159297,7672,3143292,8333,5834950
Europe,Sweden,2651702,21332,2603042,27328,10218971
Asia,Iraq,2465107,25373,2439079,655,42164965
Europe,Serbia,2435508,17473,2406575,11460,8653016
Asia,Hong Kong,2385285,11243,1981008,393034,7604299
Asia,Singapore,2190057,1710,2115786,72561,5943546
Europe,Hungary,2176249,48380,2114134,13735,9606259
Australia/Oceania,New Zealand,2062384,3435,2017409,41540,4898203
Asia,Bangladesh,2036967,29438,1986947,20582,167885689
Europe,Slovakia,1858133,20788,1835767,1578,5460193
Asia,Georgia,1808085,16895,1776548,14642,3968738
Asia,Jordan,1746997,14122,1731007,1868,10300869
Europe,Ireland,1684717,8270,1670101,6346,5020199
Asia,Pakistan,1575597,30635,1538689,6273,229488994
Europe,Norway,1472611,4571,1464923,3117,5511370
Europe,Finland,1428446,7783,1392724,27939,5554960
Asia,Kazakhstan,1400409,13694,1383020,3695,19205043
Europe,Slovenia,1291635,6973,1257191,27471,2078034
Europe,Bulgaria,1290470,38082,1248448,3940,6844597
Europe,Lithuania,1283459,9458,1266068,7933,2661708
Africa,Morocco,1270840,16294,1253721,825,37772756
Europe,Croatia,1259759,17473,1239924,2362,4059286
